Local time,Ask,Bid,AskVolume,BidVolume
12.04.2018 09:30:31.855 GMT-0400,173.303,173.26700000000002,120,300
12.04.2018 09:30:31.956 GMT-0400,173.313,173.26700000000002,120,300
12.04.2018 09:30:32.602 GMT-0400,173.313,173.27700000000002,120,75
12.04.2018 09:30:32.653 GMT-0400,173.312,173.268,120,450
12.04.2018 09:30:33.382 GMT-0400,173.313,173.26700000000002,120,300
12.04.2018 09:30:33.795 GMT-0400,173.313,173.27700000000002,120,600
12.04.2018 09:30:33.859 GMT-0400,173.312,173.268,120,300
12.04.2018 09:30:33.934 GMT-0400,173.313,173.287,120,75
12.04.2018 09:30:34.367 GMT-0400,173.293,173.257,120,68
12.04.2018 09:30:34.419 GMT-0400,173.282,173.248,120,120
12.04.2018 09:30:35.145 GMT-0400,173.256,173.24099999999999,120,7499.9998
12.04.2018 09:30:35.196 GMT-0400,173.252,173.232,120,7499.9998
12.04.2018 09:30:35.601 GMT-0400,173.243,173.217,10,75
12.04.2018 09:30:35.652 GMT-0400,173.252,173.217,62,75
12.04.2018 09:30:36.244 GMT-0400,173.232,173.202,120,7499.9998
12.04.2018 09:30:36.792 GMT-0400,173.233,173.197,120,60
12.04.2018 09:30:37.170 GMT-0400,173.222,173.178,110,10099.9996
12.04.2018 09:30:37.583 GMT-0400,173.222,173.168,120,37
12.04.2018 09:30:38.123 GMT-0400,173.22299999999998,173.167,100,75
12.04.2018 09:30:38.470 GMT-0400,173.232,173.178,100,75
12.04.2018 09:30:38.892 GMT-0400,173.24200000000002,173.178,120,75
12.04.2018 09:30:38.949 GMT-0400,173.24200000000002,173.168,120,75
12.04.2018 09:30:39.301 GMT-0400,173.232,173.168,120,75
12.04.2018 09:30:39.640 GMT-0400,173.202,173.158,120,860
12.04.2018 09:30:40.063 GMT-0400,173.203,173.167,100,75
12.04.2018 09:30:40.258 GMT-0400,173.22299999999998,173.168,120,7499.9998
12.04.2018 09:30:40.369 GMT-0400,173.21200000000002,173.168,120,7499.9998
12.04.2018 09:30:40.715 GMT-0400,173.203,173.17700000000002,10,150
12.04.2018 09:30:41.584 GMT-0400,173.202,173.178,110,150
12.04.2018 09:30:42.179 GMT-0400,173.203,173.17700000000002,110,150
12.04.2018 09:30:42.546 GMT-0400,173.162,173.107,120,7499.9998
12.04.2018 09:30:42.597 GMT-0400,173.173,173.107,10700.0005,10099.9996
12.04.2018 09:30:42.889 GMT-0400,173.162,173.107,120,7499.9998
12.04.2018 09:30:43.202 GMT-0400,173.153,173.107,100,7499.9998
12.04.2018 09:30:43.404 GMT-0400,173.15200000000002,173.09799999999998,120,75
12.04.2018 09:30:44.340 GMT-0400,173.153,173.097,100,150
12.04.2018 09:30:44.789 GMT-0400,173.14200000000002,173.108,110,150
12.04.2018 09:30:45.185 GMT-0400,173.122,173.09799999999998,62,150
12.04.2018 09:30:45.748 GMT-0400,173.122,173.097,62,260
12.04.2018 09:30:45.932 GMT-0400,173.15200000000002,173.09799999999998,120,200
12.04.2018 09:30:46.372 GMT-0400,173.143,173.097,120,84
12.04.2018 09:30:46.554 GMT-0400,173.153,173.097,120,84
12.04.2018 09:30:46.828 GMT-0400,173.15200000000002,173.108,120,75
12.04.2018 09:30:47.008 GMT-0400,173.15200000000002,173.09799999999998,120,88
12.04.2018 09:30:47.370 GMT-0400,173.133,173.097,120,9999.9998
12.04.2018 09:30:47.908 GMT-0400,173.15200000000002,173.097,120,7499.9998
12.04.2018 09:30:47.959 GMT-0400,173.173,173.14700000000002,120,75
12.04.2018 09:30:48.112 GMT-0400,173.183,173.14700000000002,10200.0004,75
12.04.2018 09:30:48.587 GMT-0400,173.173,173.127,100,7499.9998
12.04.2018 09:30:48.958 GMT-0400,173.172,173.108,100,450
12.04.2018 09:30:49.066 GMT-0400,173.172,173.118,120,150
12.04.2018 09:30:49.456 GMT-0400,173.173,173.097,120,370
12.04.2018 09:30:49.509 GMT-0400,173.172,173.108,120,150
12.04.2018 09:30:49.888 GMT-0400,173.162,173.128,100,75
12.04.2018 09:30:49.939 GMT-0400,173.162,173.108,120,520
12.04.2018 09:30:51.166 GMT-0400,173.162,173.138,100,7499.9998
12.04.2018 09:30:51.549 GMT-0400,173.162,173.108,100,800
12.04.2018 09:30:51.616 GMT-0400,173.19299999999998,173.187,100,7499.9998
12.04.2018 09:30:51.701 GMT-0400,173.233,173.187,10099.9996,7499.9998
12.04.2018 09:30:52.080 GMT-0400,173.232,173.208,120,75
12.04.2018 09:30:52.131 GMT-0400,173.22299999999998,173.197,120,7499.9998
12.04.2018 09:30:52.535 GMT-0400,173.243,173.197,9999.9998,7499.9998
12.04.2018 09:30:52.622 GMT-0400,173.103,173.08700000000002,120,7499.9998
12.04.2018 09:30:52.840 GMT-0400,173.123,173.088,62,360
12.04.2018 09:30:52.891 GMT-0400,173.113,173.088,62,360
12.04.2018 09:30:53.353 GMT-0400,173.14200000000002,173.088,120,440
12.04.2018 09:30:53.404 GMT-0400,173.15200000000002,173.088,120,440
12.04.2018 09:30:53.666 GMT-0400,173.153,173.097,62,75
12.04.2018 09:30:53.717 GMT-0400,173.153,173.08700000000002,62,11599.9999
12.04.2018 09:30:54.362 GMT-0400,173.16299999999998,173.08700000000002,120,810
12.04.2018 09:30:55.280 GMT-0400,173.162,173.088,120,810
12.04.2018 09:30:55.692 GMT-0400,173.16299999999998,173.11700000000002,120,150
12.04.2018 09:30:56.842 GMT-0400,173.162,173.118,120,220
12.04.2018 09:30:57.812 GMT-0400,173.16299999999998,173.11700000000002,120,220
12.04.2018 09:30:57.944 GMT-0400,173.173,173.11700000000002,10200.0004,670
12.04.2018 09:30:57.994 GMT-0400,173.162,173.128,120,7499.9998
12.04.2018 09:30:58.447 GMT-0400,173.153,173.128,100,7499.9998
12.04.2018 09:30:58.498 GMT-0400,173.153,173.11700000000002,100,290
12.04.2018 09:30:58.548 GMT-0400,173.132,173.118,120,140
12.04.2018 09:30:59.210 GMT-0400,173.123,173.11,120,7499.9998
12.04.2018 09:30:59.311 GMT-0400,173.123,173.09799999999998,100,7499.9998
12.04.2018 09:30:59.362 GMT-0400,173.11200000000002,173.08700000000002,62,810
12.04.2018 09:30:59.706 GMT-0400,173.123,173.107,100,150
12.04.2018 09:30:59.760 GMT-0400,173.132,173.108,62,600
12.04.2018 09:31:00.437 GMT-0400,173.143,173.128,120,7499.9998
12.04.2018 09:31:00.550 GMT-0400,173.162,173.128,120,7499.9998
12.04.2018 09:31:01.051 GMT-0400,173.143,173.128,120,7499.9998
12.04.2018 09:31:01.101 GMT-0400,173.15200000000002,173.108,120,520
12.04.2018 09:31:01.655 GMT-0400,173.153,173.118,62,75
12.04.2018 09:31:02.054 GMT-0400,173.18200000000002,173.118,120,520
12.04.2018 09:31:02.155 GMT-0400,173.18200000000002,173.157,120,7499.9998
12.04.2018 09:31:02.209 GMT-0400,173.208,173.17700000000002,62,280
12.04.2018 09:31:03.155 GMT-0400,173.243,173.17700000000002,120,200
12.04.2018 09:31:04.001 GMT-0400,173.22299999999998,173.17700000000002,120,61
12.04.2018 09:31:04.380 GMT-0400,173.183,173.137,120,7499.9998
12.04.2018 09:31:05.026 GMT-0400,173.183,173.11700000000002,120,520
12.04.2018 09:31:05.076 GMT-0400,173.143,173.097,120,1949.9999
12.04.2018 09:31:06.182 GMT-0400,173.14200000000002,173.09799999999998,120,1960
12.04.2018 09:31:07.053 GMT-0400,173.133,173.097,120,1960
12.04.2018 09:31:07.237 GMT-0400,173.14200000000002,173.09799999999998,120,1960
12.04.2018 09:31:07.472 GMT-0400,173.122,173.09799999999998,120,1970.0001
12.04.2018 09:31:07.801 GMT-0400,173.123,173.107,120,75
12.04.2018 09:31:08.032 GMT-0400,173.122,173.097,62,1960
12.04.2018 09:31:08.154 GMT-0400,173.122,173.108,62,82
12.04.2018 09:31:08.506 GMT-0400,173.122,173.097,62,1960
12.04.2018 09:31:08.979 GMT-0400,173.133,173.097,100,1960
12.04.2018 09:31:09.063 GMT-0400,173.14200000000002,173.09799999999998,100,1960
12.04.2018 09:31:09.176 GMT-0400,173.19,173.137,62,310
12.04.2018 09:31:09.226 GMT-0400,173.197,173.157,62,150
12.04.2018 09:31:10.101 GMT-0400,173.21200000000002,173.158,120,1570
12.04.2018 09:31:10.903 GMT-0400,173.213,173.157,120,1500
12.04.2018 09:31:11.617 GMT-0400,173.21200000000002,173.158,120,1570
12.04.2018 09:31:13.243 GMT-0400,173.232,173.187,62,15
12.04.2018 09:31:13.628 GMT-0400,173.232,173.197,62,160
12.04.2018 09:31:13.729 GMT-0400,173.252,173.208,100,900
12.04.2018 09:31:14.237 GMT-0400,173.253,173.20700000000002,100,11599.9999
12.04.2018 09:31:14.288 GMT-0400,173.232,173.17700000000002,120,7499.9998
12.04.2018 09:31:14.401 GMT-0400,173.21200000000002,173.17700000000002,100,7499.9998
12.04.2018 09:31:14.451 GMT-0400,173.21200000000002,173.158,120,1570
12.04.2018 09:31:14.502 GMT-0400,173.203,173.157,100,1570
12.04.2018 09:31:15.054 GMT-0400,173.202,173.158,110,1570
